Device,TSL_Lux,TSL_IR,TSL_Vis,TSL_Full,Percentage_IR,BME_Temp,BME_Hum,BME_Pres,BME_Alt,VEML_UV,SGP_CO2,SGP_VOCs,SOIL1_Temp,SOIL1_Cap,SOIL2_Temp,SOIL2_Cap,PIR 1,Decimal Hours,Decimal Hours,Year,Month,Day,Hour,Minute,Second,TimeZone
Quolls,961.306,188,359,547,0.34369287,22.29,47.083,1013.5,-2.088,52,400,1,22.684,1013,22.292,1015,,129.347,9.347,2020,1,6,9,20,52,10
Quolls,568.066,117,215,332,0.352409639,22.01,47.57,1013.531,-2.343,30,400,0,22.889,1015,22.086,1015,,129.072,9.072,2020,1,6,9,4,21,10
Quolls,580.8,120,220,340,0.352941176,22.02,47.33,1013.525,-2.289,30,400,0,22.379,1015,22.192,1015,,129.084,9.084,2020,1,6,9,5,3,10
Quolls,712.801,139,266,405,0.343209877,22.049,48.19,1013.578,-2.731,37,400,0,22.379,1015,21.886,1015,,129.168,9.168,2020,1,6,9,10,5,10
Quolls,772.564,148,287,435,0.340229885,22.11,47.876,1013.578,-2.737,41,400,0,22.379,1006,21.786,1015,,129.225,9.225,2020,1,6,9,13,30,10
Quolls,828.79,159,308,467,0.340471092,22.129,47.67,1013.511,-2.181,44,400,0,22.578,1014,21.886,1015,,129.251,9.251,2020,1,6,9,15,5,10
Quolls,2665.659,543,1006,1549,0.350548741,23.1,44.459,1013.509,-2.156,146,400,1,23.801,1016,22.898,1015,,129.678,9.678,2020,1,6,9,40,41,10
Quolls,968.586,190,362,552,0.344202899,22.28,46.984,1013.55,-2.503,52,400,0,22.783,1014,22.292,1015,,129.354,9.354,2020,1,6,9,21,16,10
Quolls,1106.579,220,415,635,0.346456693,22.309,46.502,1013.541,-2.428,59,400,0,22.684,1014,22.086,1014,,129.418,9.418,2020,1,6,9,25,6,10
Quolls,1531.157,306,575,881,0.347332577,22.45,46.155,1013.533,-2.355,82,400,0,23.491,876,-11.728,1016,,129.494,9.494,2020,1,6,9,29,41,10
Quolls,1576.4,313,591,904,0.346238938,22.469,46.563,1013.584,-2.784,85,400,0,23.696,1014,22.698,1015,,129.501,9.501,2020,1,6,9,30,5,10
Quolls,1046.567,205,391,596,0.343959732,23.36,43.504,1013.511,-2.179,57,400,1,23.696,1015,22.698,1016,,130.181,10.181,2020,1,6,10,10,52,10
Quolls,1454.375,307,554,861,0.356562137,23.079,44.689,1013.467,-1.808,80,400,0,23.187,1015,22.698,1015,,129.751,9.751,2020,1,6,9,45,5,10
Quolls,1794.034,380,684,1064,0.357142857,23.149,44.124,1013.411,-1.342,96,400,0,22.578,947,22.598,1015,,129.834,9.834,2020,1,6,9,50,5,10
Quolls,1777.033,369,674,1043,0.353787152,23.26,43.826,1013.365,-0.957,97,400,0,23.187,375,22.798,1015,,129.918,9.918,2020,1,6,9,55,5,10
Quolls,1636.96,336,619,955,0.351832461,23.37,43.439,1013.279,-0.248,90,400,0,23.087,1016,22.292,1015,,130.001,10.001,2020,1,6,10,0,5,10
Quolls,1227.886,239,458,697,0.342898135,23.34,43.292,1013.429,-1.493,67,400,0,23.187,1016,22.698,1015,,130.084,10.084,2020,1,6,10,5,5,10
Quolls,1814.774,372,686,1058,0.351606805,,,,,99,400,1,23.286,1016,23.104,1016,,130.511,10.511,2020,1,6,10,30,41,10
Quolls,2888.181,603,1097,1700,0.354705882,24.139,42.641,1013.116,1.115,159,400,1,23.491,1015,23.104,1016,,131.011,11.011,2020,1,6,11,0,41,10
Quolls,2046.95,418,773,1191,0.350965575,23.639,43.4,1013.41,-1.335,112,400,0,23.286,1015,22.798,1015,,130.584,10.584,2020,1,6,10,35,5,10
