Device,TSL_Lux,TSL_IR,TSL_Vis,TSL_Full,BME_Temp,BME_Hum,BME_Pres,BME_Alt,VEML_UV,SGP_CO2,SGP_VOCs,SOIL1_Temp,SOIL1_Cap,SOIL2_Temp,SOIL2_Cap,PIR 1,PIR 2,Decimal Hours,Year,Month,Day,Hour,Minute,Second,TimeZone
string,float,float,float,float,float,float,float,float,int,float,float,float,float,float,float,string,string,float,int,int,int,int,int,int,int
Quolls,692.355,94,237,331,25.299,36.099,1006.079,59.869,40,400,0,,,,,,,8750.012,2019,12,31,14,0,42,10
Quolls,,,,,,,,,,,,,,,,8749.7080_0.0000_,,,,,,,,,
Quolls,641.576,86,219,305,25.35,36.503,1006.214,58.968,38,400,0,,,,,,,8749.648,2019,12,31,13,38,54,10
Quolls,646.984,87,221,308,25.37,36.438,1006.225,58.652,38,400,0,,,,,,,8749.668,2019,12,31,13,40,5,10
Quolls,652.393,88,223,311,25.34,36.458,1006.089,59.784,38,400,0,,,,,,,8749.751,2019,12,31,13,45,5,10
Quolls,648.641,88,222,310,25.319,36.211,1006.134,59.293,38,400,0,,,,,,,8749.835,2019,12,31,13,50,5,10
Quolls,663.212,90,227,317,25.29,35.988,1006.117,59.665,39,400,0,,,,,,,8749.918,2019,12,31,13,55,5,10
Quolls,779.783,106,267,373,25.399,34.686,1006.138,59.38,48,400,0,26.639,681,24.322,1015,,,8750.35,2019,12,31,14,20,59,10
Quolls,,,,,,,,,,,,,,,,8750.0918_8750.1729_8750.2207_8750.2246_0.0000_,,,,,,,,,
Quolls,685.289,92,234,326,25.25,36.05,1006.035,59.676,40,400,0,25.931,677,23.71,1015,,,8750.085,2019,12,31,14,5,5,10
Quolls,777.698,107,267,374,25.27,35.61,1006.092,60.098,49,400,0,26.03,679,23.81,1015,,,8750.168,2019,12,31,14,10,6,10
Quolls,785.193,107,269,376,25.29,35.732,1006.121,59.859,48,400,0,26.235,677,23.81,1015,,,8750.174,2019,12,31,14,10,25,10
Quolls,772.285,106,265,371,25.309,35.588,1006.023,60.709,48,400,0,25.826,683,23.71,1015,,,8750.226,2019,12,31,14,13,31,10
Quolls,48,680,26.136,23.81,400,264,0,770.622,1015,105,369,-1,-1,-1,-1,,,8750.252,2019,12,31,14,15,6,10
Quolls,704.077,101,244,345,25.139,31.435,1006.32,57.856,42,400,0,26.335,681,23.81,1015,,,8750.846,2019,12,31,14,50,45,10
Quolls,,,,,,,,,,,,,,,,8750.6270_8750.1729_,,,,,,,,,
Quolls,781.445,107,268,375,25.299,33.957,1006.033,60.709,48,400,0,25.931,685,23.31,1015,,,8750.418,2019,12,31,14,25,5,10
Quolls,794.354,108,272,380,25.239,33.752,1006.054,59.744,49,400,0,25.521,677,23.51,1015,,,8750.501,2019,12,31,14,30,5,10
Quolls,799.352,111,275,386,25.17,33.248,1006.207,59.172,50,400,0,25.726,678,23.71,1015,,,8750.585,2019,12,31,14,35,5,10
Quolls,683.75,100,238,338,25.12,31.778,1006.239,58.534,65535,400,0,25.521,686,24.222,1015,,,8750.668,2019,12,31,14,40,5,10
Quolls,961.306,188,359,547,22.29,47.083,1013.5,-2.088,52,400,1,22.684,1013,22.292,1015,,,129.347,2020,1,6,9,20,52,10
Quolls,,,,,,,,,,,,,,,,129.0711_129.0733_129.0761_129.0780_129.0806_129.0831_129.0853_129.0875_129.0897_129.0917_129.0936_129.1097_129.1153_129.1300_129.1686_129.2178_129.2200_129.2239_129.2581_129.2608_129.3319_0.0000_,,,,,,,,,
Quolls,568.066,117,215,332,22.01,47.57,1013.531,-2.343,30,400,0,22.889,1015,22.086,1015,,,129.072,2020,1,6,9,4,21,10
Quolls,580.8,120,220,340,22.02,47.33,1013.525,-2.289,30,400,0,22.379,1015,22.192,1015,,,129.084,2020,1,6,9,5,3,10
